Agrément	Localité	Désignation	Ligue	Département
0780026	QUEND	L'ETINCELLE MARQUENTERRE LOISIRS CULTURE	0200000	020080000
0780027	ABBEVILLE	CIE D'ARC D'ABBEVILLE	0200000	020080000
0780029	MOREUIL	CIE ARCHERS DE MOREUIL	0200000	020080000
0780034	EPPEVILLE	LA FLECHE EPPEVILLOISE	0200000	020080000
0780040	NESLE	CLUB DE TIR A L'ARC NESLOIS	0200000	020080000
0780041	SAINS EN AMIENOIS	CLUB DE TIR A L'ARC DE SAINS EN AMIENOIS	0200000	020080000
0780044	ROISEL	CIE D'ARC ST.MARTIN ROISEL-EPEHY	0200000	020080000
0780046	CORBIE	ENCLOS DE L'ABBAYE	0200000	020080000
0780050	CHAULNES	AMICALE DES ANCIENS ELEVES	0200000	020080000
0802002	BLERANCOURT	CIE D'ARC DE BLERANCOURT	0200000	020002000
0802004	CAMELIN	COMPAGNIE D'ARC DE CAMELIN	0200000	020002000
0802025	BLERANCOURT	LA SAINT SEBASTIEN	0200000	020002000
0860001	ATTICHY	CIE D'ARC D'ATTICHY	0200000	020060000
0860003	CAMBRONNE LES RIBECOURT	CIE D'ARC DE CAMBRONNE LES RIBECOURT	0200000	020060000
0860005	CARLEPONT	CIE D'ARC DE CARLEPONT	0200000	020060000
0860006	CHOISY AU BAC	COMPAGNIE D'ARC DE CHOISY AU BAC	0200000	020060000
0860007	COMPIEGNE	LES ARCHERS DE COMPIEGNE	0200000	020060000
0860008	CUISE LA MOTTE	CIE D'ARC DE CUISE LA MOTTE	0200000	020060000
0860009	LARBROYE	CIE D'ARC DE LARBROYE	0200000	020060000
0860011	PIERREFONDS	CIE D'ARC DE PIERREFONDS	0200000	020060000
0860012	LE PLESSIS BRION	CIE D'ARC DU PLESSIS BRION	0200000	020060000
0860013	PONTOISE LES NOYON	PONTOISE LES NOYON	0200000	020060000
0860014	RETHONDES	CIE D'ARC DE RETHONDES	0200000	020060000
0860015	TRACY LE MONT	CIE D'ARC DE TRACY LE MONT	0200000	020060000
0860019	LONGUEIL ANNEL 2E	2EME COMPAGNIE D'ARC	0200000	020060000
0860020	CUTS	CIE D'ARC DE CUTS	0200000	020060000
0902008	HARAMONT	CIE D'ARC D'HARAMONT	0200000	020002000
0960002	BETHISY ST PIERRE	COMPAGNIE D'ARC BETHISY ST PIERRE	0200000	020060000
0960003	BOURSONNE	CIE D'ARC DE BOURSONNE	0200000	020060000
0960004	BREGY	CIE D'ARC DE BREGY - LES ENFANTS DE BAYARD	0200000	020060000
0960005	CREPY EN VALOIS	CIE DE CREPY EN VALOIS	0200000	020060000
0960007	DUVY	CIE D'ARC DE DUVY	0200000	020060000
0960009	IVORS	CIE D'ARC D'IVORS	0200000	020060000
0960010	LA CROIX ST OUEN	CIE DE LA CROIX ST OUEN	0200000	020060000
